BRAND_NAME,TYPE,NIC,TAR,CO,LEN,FLTR,PACK,STRENGTH,STYLE,OTHER
First Choice,REGULAR,0.9,14,17,99,F,SOFT,FULL FLAVOR,,
First Choice,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,
First Choice,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
Gold Coast,REGULAR,0.9,15,15,83,F,HARD,FULL FLAVOR,,
Gold Coast,REGULAR,0.8,11,13,83,F,HARD,LIGHT,,
Gold Coast,REGULAR,0.9,15,16,84,F,SOFT,FULL FLAVOR,,
Gold Coast,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
Gold Coast,REGULAR,0.9,14,17,99,F,SOFT,FULL FLAVOR,,
Gold Coast,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,
Gold Coast,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
Gold Coast,REGULAR,0.9,14,16,100,F,HARD,FULL FLAVOR,,
Gold Coast,REGULAR,0.8,10,12,100,F,HARD,LIGHT,,
GPC,REGULAR,0.5,6,7,83,F,HARD,ULTRA LIGHT,,
GPC,REGULAR,0.4,6,6,83,F,SOFT,ULTRA LIGHT,,
GPC,REGULAR,0.9,14,14,85,F,HARD,FULL FLAVOR,,
GPC,REGULAR,0.7,9,11,85,F,HARD,LIGHT,,
GPC,REGULAR,0.9,14,14,85,F,SOFT,FULL FLAVOR,,
GPC,REGULAR,0.6,9,11,85,F,SOFT,LIGHT,,
GPC,REGULAR,1.2,20,13,85,NF,SOFT,FULL FLAVOR,,
GPC,REGULAR,0.9,14,14,100,F,HARD,FULL FLAVOR,,
GPC,REGULAR,0.8,10,11,100,F,HARD,LIGHT,,
GPC,REGULAR,0.5,6,7,100,F,HARD,ULTRA LIGHT,,
GPC,REGULAR,0.9,14,15,100,F,SOFT,FULL FLAVOR,,
GPC,REGULAR,0.8,10,12,100,F,SOFT,LIGHT,,
GPC,REGULAR,0.5,6,7,100,F,SOFT,ULTRA LIGHT,,
GRAND PR,REGULAR,0.9,14,18,85,F,HARD,FULL FLAVOR,.,.
GRAND PR,REGULAR,1,14,19,85,F,HARD,FULL FLAVOR,.,.
GRAND PR,REGULAR,0.8,10,13,85,F,HARD,LIGHT,.,.
GRAND PR,REGULAR,0.8,10,14,85,F,HARD,LIGHT,.,.
GRAND PR,REGULAR,0.9,14,18,85,F,SOFT,FULL FLAVOR,.,.
GRAND PR,REGULAR,0.8,10,13,85,F,SOFT,LIGHT,.,.
GRAND PR,REGULAR,1.5,20,14,85,NF,SOFT,FULL FLAVOR,.,.
GRAND PR,REGULAR,1.7,24,19,85,NF,SOFT,FULL FLAVOR,.,.
GRAND PR,REGULAR,1,15,20,100,F,HARD,FULL FLAVOR,.,.
GRAND PR,REGULAR,1,15,21,100,F,HARD,FULL FLAVOR,.,.
GRAND PR,REGULAR,0.8,10,15,100,F,HARD,LIGHT,.,.
GRAND PR,REGULAR,0.8,10,15,100,F,HARD,LIGHT,.,.
GRAND PR,REGULAR,0.5,5,7,100,F,HARD,ULTRA LIGHT,.,.
GRAND PR,REGULAR,0.5,5,7,100,F,HARD,ULTRA LIGHT,.,.
GRAND PR,REGULAR,1,15,20,100,F,SOFT,FULL FLAVOR,.,.
GRAND PR,REGULAR,1,15,21,100,F,SOFT,FULL FLAVOR,.,.
GRAND PR,REGULAR,0.8,10,15,100,F,SOFT,LIGHT,.,.
GRAND PR,REGULAR,0.8,10,15,100,F,SOFT,LIGHT,.,.
GRAND PR,REGULAR,0.5,5,7,100,F,SOFT,ULTRA LIGHT,.,.
GRAND PR,REGULAR,0.5,5,7,100,F,SOFT,ULTRA LIGHT,.,.
Highway,REGULAR,0.9,15,15,83,F,HARD,FULL FLAVOR,,
Highway,REGULAR,0.8,11,13,83,F,HARD,LIGHT,,
Highway,REGULAR,0.4,5,8,83,F,HARD,ULTRA LIGHT,,
Highway,REGULAR,0.9,14,17,99,F,SOFT,FULL FLAVOR,,
Highway,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,
Highway,REGULAR,0.8,10,12,100,F,HARD,LIGHT,,
Jacks,REGULAR,0.9,15,15,83,F,HARD,FULL FLAVOR,,
Jacks,REGULAR,0.8,11,13,83,F,HARD,LIGHT,,
Jacks,REGULAR,0.9,15,16,84,F,SOFT,FULL FLAVOR,,
Jacks,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
Jacks,REGULAR,0.4,4,6,84,F,SOFT,ULTRA LIGHT,,
Jacks,REGULAR,1.2,20,14,84,NF,SOFT,FULL FLAVOR,,
Jacks,REGULAR,0.5,7,9,98,F,HARD,LIGHT,,
Jacks,REGULAR,0.8,10,12,98,F,HARD,LIGHT,,
Jacks,REGULAR,0.9,14,17,99,F,SOFT,FULL FLAVOR,,
Jacks,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,
Jacks,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
KENT,REGULAR,0.9,12,12,80,F,HARD,REGULAR,"KING,F,H",
KENT,REGULAR,1,13,13,85,F,SOFT,REGULAR,"KING,F,S",
KENT,REGULAR,1.1,14,13,100,F,SOFT,REGULAR,"100's,F,S",
KENT GOL,REGULAR,0.7,8,9,80,F,HARD,LIGHT,"King,F,HP",
KENT GOL,REGULAR,0.8,8,10,85,F,SOFT,LIGHT,"KING,F,S",
KENT GOL,REGULAR,0.9,10,10,100,F,HARD,LIGHT,"100's,F,H",
KENT GOL,REGULAR,0.9,10,10,100,F,SOFT,LIGHT,"100's,F,S",
KENT III,REGULAR,0.5,5,6,85,F,SOFT,ULTRA LIGHT,ULTRA LIG,
KENT III,REGULAR,0.6,6,6,100,F,HARD,ULTRA LIGHT,ULTRA LIG,
KENT III,REGULAR,0.6,6,6,100,F,SOFT,ULTRA LIGHT,ULTRA LIG,
KINGSPOR,REGULAR,1,14,19,85,F,HARD,FULL FLAVOR,.,.
KINGSPOR,REGULAR,0.8,10,14,85,F,HARD,LIGHT,.,.
KINGSPOR,REGULAR,0.5,5,6,85,F,HARD,ULTRA LIGHT,.,.
KINGSPOR,REGULAR,0.9,14,18,85,F,SOFT,FULL FLAVOR,.,.
KINGSPOR,REGULAR,0.8,10,13,85,F,SOFT,LIGHT,.,.
KINGSPOR,REGULAR,0.5,5,5,85,F,SOFT,ULTRA LIGHT,.,.
KINGSPOR,REGULAR,1.5,20,14,85,NF,SOFT,FULL FLAVOR,.,.
KINGSPOR,REGULAR,1,15,20,100,F,HARD,FULL FLAVOR,.,.
KINGSPOR,REGULAR,0.8,10,15,100,F,HARD,LIGHT,.,.
KINGSPOR,REGULAR,0.4,5,7,100,F,HARD,ULTRA LIGHT,.,.
KINGSPOR,REGULAR,1,15,20,100,F,SOFT,FULL FLAVOR,.,.
